,y,x,optimal_steps_count,converged,reached_horizon,steps_taken,extra_steps,t_min_over_t,y_source_cm,x_source_cm,y_agent_cm,x_agent_cm,odor_field_file,odor_field_file_2
run_10,55.0,60.0,12.0,False,True,1000.0,988.0,0.012,60.0,70.0,80.0,76.0,/storage/arnaud/tank_odor_field_2024_06_13/65_75.h5,
run_11,70.0,46.0,35.0,True,False,967.0,932.0,0.03619441571871768,32.0,24.0,82.0,2.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_12,47.0,92.0,36.0,True,False,130.0,94.0,0.27692307692307694,24.0,30.0,28.0,100.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_13,40.0,95.0,42.0,True,False,414.0,372.0,0.10144927536231885,38.0,30.0,28.0,106.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_14,38.0,87.0,36.0,True,False,384.0,348.0,0.09375,24.0,28.0,10.0,88.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_15,23.0,85.0,49.0,True,False,445.0,396.0,0.1101123595505618,44.0,32.0,0.0,88.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_16,25.0,73.0,35.0,True,False,233.0,198.0,0.15021459227467812,44.0,32.0,4.0,64.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_17,36.0,95.0,46.0,True,False,458.0,412.0,0.10043668122270742,24.0,36.0,6.0,112.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_18,31.0,84.0,40.0,True,False,218.0,178.0,0.1834862385321101,44.0,34.0,16.0,88.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_19,37.0,62.0,12.0,True,False,242.0,230.0,0.049586776859504134,28.0,36.0,12.0,46.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_20,25.0,56.0,20.0,True,False,452.0,432.0,0.04424778761061947,44.0,38.0,4.0,36.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_21,47.0,79.0,23.0,True,False,219.0,196.0,0.1050228310502283,26.0,38.0,30.0,82.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_22,47.0,78.0,22.0,True,False,386.0,364.0,0.05699481865284974,44.0,34.0,48.0,76.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_23,31.0,64.0,20.0,True,False,216.0,196.0,0.09259259259259259,44.0,40.0,16.0,54.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_24,57.0,83.0,37.0,True,False,813.0,776.0,0.04551045510455105,44.0,36.0,68.0,88.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
